category,count
Technical Support,11779
Product Support,7424
Customer Service,6114
IT Support,4793
Billing and Payments,4029
Returns and Exchanges,2007
Service Outages and Maintenance,1569
Sales and Pre-Sales,1256
Human Resources,749
General Inquiry,560
Pets & Animals/Pet Services,386
News,383
IT & Technology/Security Operations,365
Autos & Vehicles/Sales,364
Health/Medical Services,362
Home & Garden/Home Improvement,361
Pets & Animals/Veterinary Care,356
Health/Mental Health,347
Business & Industrial/Manufacturing,346
Online Communities/Forums,343
Shopping/E-commerce,341
Food & Drink/Groceries,332
Travel & Transportation/Land Travel,331
Jobs & Education/Online Courses,329
Finance/Investments,327
Law & Government/Government Services,326
Hobbies & Leisure/Collectibles,325
Online Communities/Social Networks,322
Books & Literature/Non-Fiction,320
Science/Environmental Science,318
Hobbies & Leisure/Crafts,316
Finance/Personal Finance,312
Science/Research,310
IT & Technology/Network Infrastructure,302
Games,301
Travel & Transportation/Air Travel,300
Beauty & Fitness/Cosmetics,300
Arts & Entertainment/Music,298
Food & Drink/Restaurants,295
Law & Government/Legal Advice,294
IT & Technology/Hardware Support,293
Autos & Vehicles/Maintenance,293
Jobs & Education/Recruitment,290
Books & Literature/Fiction,289
Beauty & Fitness/Fitness Training,289
Shopping/Retail Stores,283
People & Society/Culture & Society,283
IT & Technology/Software Development,262
Arts & Entertainment/Movies,262
Home & Garden/Landscaping,256
Sports,236
Real Estate,230
