category,critical,high,low,medium,very_low
Arts & Entertainment/Movies,39,37,52,84,50
Arts & Entertainment/Music,38,77,44,83,56
Autos & Vehicles/Maintenance,36,38,64,104,51
Autos & Vehicles/Sales,59,97,76,86,46
Beauty & Fitness/Cosmetics,47,70,86,66,31
Beauty & Fitness/Fitness Training,55,90,45,74,25
Billing and Payments,0,1192,870,1967,0
Books & Literature/Fiction,61,65,48,66,49
Books & Literature/Non-Fiction,64,69,55,72,60
Business & Industrial/Manufacturing,33,85,71,98,59
Customer Service,0,1161,2018,2935,0
Finance/Investments,58,77,86,83,23
Finance/Personal Finance,41,54,43,124,50
Food & Drink/Groceries,44,70,74,74,70
Food & Drink/Restaurants,51,63,75,85,21
Games,43,45,58,91,64
General Inquiry,0,79,329,152,0
Health/Medical Services,48,93,71,101,49
Health/Mental Health,38,74,100,109,26
Hobbies & Leisure/Collectibles,35,65,48,133,44
Hobbies & Leisure/Crafts,21,51,104,98,42
Home & Garden/Home Improvement,65,83,80,93,40
Home & Garden/Landscaping,60,39,44,86,27
Human Resources,0,78,363,308,0
IT & Technology/Hardware Support,51,69,63,88,22
IT & Technology/Network Infrastructure,27,47,73,96,59
IT & Technology/Security Operations,56,60,84,116,49
IT & Technology/Software Development,34,55,47,85,41
IT Support,0,2321,455,2017,0
Jobs & Education/Online Courses,56,56,65,97,55
Jobs & Education/Recruitment,48,66,45,97,34
Law & Government/Government Services,72,63,65,84,42
Law & Government/Legal Advice,27,79,40,109,39
News,35,115,85,119,29
Online Communities/Forums,46,75,93,114,15
Online Communities/Social Networks,45,90,95,58,34
People & Society/Culture & Society,44,72,74,70,23
Pets & Animals/Pet Services,75,83,88,82,58
Pets & Animals/Veterinary Care,18,107,84,58,89
Product Support,0,2233,1470,3721,0
Real Estate,38,48,45,65,34
Returns and Exchanges,0,427,741,839,0
Sales and Pre-Sales,0,220,446,590,0
Science/Environmental Science,55,96,60,79,28
Science/Research,46,83,68,60,53
Service Outages and Maintenance,0,1108,182,279,0
Shopping/E-commerce,42,95,82,78,44
Shopping/Retail Stores,44,66,67,71,35
Sports,24,28,37,98,49
Technical Support,0,6889,1341,3549,0
Travel & Transportation/Air Travel,55,67,52,88,38
Travel & Transportation/Land Travel,40,84,80,97,30
