,Arts & Entertainment/Movies,Arts & Entertainment/Music,Autos & Vehicles/Maintenance,Autos & Vehicles/Sales,Beauty & Fitness/Cosmetics,Beauty & Fitness/Fitness Training,Billing and Payments,Books & Literature/Fiction,Books & Literature/Non-Fiction,Business & Industrial/Manufacturing,Customer Service,Finance/Investments,Finance/Personal Finance,Food & Drink/Groceries,Food & Drink/Restaurants,Games,General Inquiry,Health/Medical Services,Health/Mental Health,Hobbies & Leisure/Collectibles,Hobbies & Leisure/Crafts,Home & Garden/Home Improvement,Home & Garden/Landscaping,Human Resources,IT & Technology/Hardware Support,IT & Technology/Network Infrastructure,IT & Technology/Security Operations,IT & Technology/Software Development,IT Support,Jobs & Education/Online Courses,Jobs & Education/Recruitment,Law & Government/Government Services,Law & Government/Legal Advice,News,Online Communities/Forums,Online Communities/Social Networks,People & Society/Culture & Society,Pets & Animals/Pet Services,Pets & Animals/Veterinary Care,Product Support,Real Estate,Returns and Exchanges,Sales and Pre-Sales,Science/Environmental Science,Science/Research,Service Outages and Maintenance,Shopping/E-commerce,Shopping/Retail Stores,Sports,Technical Support,Travel & Transportation/Air Travel,Travel & Transportation/Land Travel
Arts & Entertainment/Movies,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arts & Entertainment/Music,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autos & Vehicles/Maintenance,0,0,51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Autos & Vehicles/Sales,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Beauty & Fitness/Cosmetics,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Beauty & Fitness/Fitness Training,0,0,0,0,0,55,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Billing and Payments,0,0,0,0,0,0,637,0,0,0,42,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,16,1,16,23,1,0,6,0,0,0,31,0,0
Books & Literature/Fiction,0,0,0,0,0,0,0,57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Books & Literature/Non-Fiction,0,0,0,0,0,0,0,1,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Business & Industrial/Manufacturing,0,0,1,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
