,Arts & Entertainment/Movies,Arts & Entertainment/Music,Autos & Vehicles/Maintenance,Autos & Vehicles/Sales,Beauty & Fitness/Cosmetics,Beauty & Fitness/Fitness Training,Billing and Payments,Books & Literature/Fiction,Books & Literature/Non-Fiction,Business & Industrial/Manufacturing,Customer Service,Finance/Investments,Finance/Personal Finance,Food & Drink/Groceries,Food & Drink/Restaurants,Games,General Inquiry,Health/Medical Services,Health/Mental Health,Hobbies & Leisure/Collectibles,Hobbies & Leisure/Crafts,Home & Garden/Home Improvement,Home & Garden/Landscaping,Human Resources,IT & Technology/Hardware Support,IT & Technology/Network Infrastructure,IT & Technology/Security Operations,IT & Technology/Software Development,IT Support,Jobs & Education/Online Courses,Jobs & Education/Recruitment,Law & Government/Government Services,Law & Government/Legal Advice,News,Online Communities/Forums,Online Communities/Social Networks,People & Society/Culture & Society,Pets & Animals/Pet Services,Pets & Animals/Veterinary Care,Product Support,Real Estate,Returns and Exchanges,Sales and Pre-Sales,Science/Environmental Science,Science/Research,Service Outages and Maintenance,Shopping/E-commerce,Shopping/Retail Stores,Sports,Technical Support,Travel & Transportation/Air Travel,Travel & Transportation/Land Travel
Arts & Entertainment/Movies,46,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arts & Entertainment/Music,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autos & Vehicles/Maintenance,0,0,49,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Autos & Vehicles/Sales,0,0,0,69,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Beauty & Fitness/Cosmetics,0,1,0,1,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Beauty & Fitness/Fitness Training,0,0,0,0,0,52,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Billing and Payments,0,0,0,0,0,1,505,0,0,0,102,0,2,0,0,0,17,0,0,0,0,0,0,11,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,17,0,27,52,0,0,7,0,0,0,41,0,0
Books & Literature/Fiction,0,0,0,0,0,0,0,56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Books & Literature/Non-Fiction,0,0,0,0,1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Business & Industrial/Manufacturing,0,0,1,1,0,0,0,0,2,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Customer Service,0,0,0,1,1,1,48,0,2,1,376,0,0,0,0,0,69,0,0,0,0,1,0,39,0,1,1,1,88,1,0,0,0,0,0,4,0,1,0,105,0,95,172,0,0,44,1,0,0,169,1,0
Finance/Investments,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Finance/Personal Finance,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Food & Drink/Groceries,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Food & Drink/Restaurants,0,0,1,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Games,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
General Inquiry,0,0,0,0,0,0,3,0,0,0,16,0,0,0,0,0,53,0,0,0,0,0,0,4,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,7,0,3,10,0,0,2,0,0,0,8,0,0
Health/Medical Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Health/Mental Health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,66,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hobbies & Leisure/Collectibles,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,52,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Hobbies & Leisure/Crafts,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,59,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home & Garden/Home Improvement,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,65,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Home & Garden/Landscaping,0,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,2
Human Resources,0,0,1,0,0,0,1,0,0,0,9,0,0,0,0,0,7,0,0,0,0,0,0,83,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,6,0,6,13,0,0,5,0,0,0,8,0,0
IT & Technology/Hardware Support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT & Technology/Network Infrastructure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT & Technology/Security Operations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
IT & Technology/Software Development,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IT Support,2,0,0,0,0,0,13,0,0,0,111,0,1,0,0,0,48,0,0,1,0,0,0,29,0,1,1,0,340,0,0,0,0,0,0,3,0,0,0,46,0,37,56,0,0,84,0,0,0,185,1,0
Jobs & Education/Online Courses,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jobs & Education/Recruitment,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Law & Government/Government Services,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,50,1,0,0,2,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
Law & Government/Legal Advice,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,48,0,0,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,1
News,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,72,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Online Communities/Forums,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Online Communities/Social Networks,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
People & Society/Culture & Society,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pets & Animals/Pet Services,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,62,3,0,1,0,0,1,0,0,0,0,2,0,0,2
Pets & Animals/Veterinary Care,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0
Product Support,0,0,0,0,1,1,28,0,1,1,171,1,2,0,1,0,95,0,0,0,0,0,0,52,1,0,1,1,129,0,0,0,0,0,0,3,0,1,0,364,0,109,152,1,0,61,1,0,1,305,1,0
Real Estate,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0
Returns and Exchanges,0,0,0,0,0,1,16,0,0,0,37,0,0,2,1,0,21,0,0,0,0,0,0,16,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,30,0,163,41,0,0,16,0,0,1,40,0,0
